"experiment","model","experiment_model","seed","n_train","n_test","AUC","Accuracy","Baseline","Lift","Recall","Precision","F1"
"prod_num","Neural Network","prod_num_Neural Network",42,11540,1882,0.81697475650964,0.925496688741722,0.766206163655685,0.159290525086036,1,0.925496688741722,0.961306964746346
"prod_num","XGBoost","prod_num_XGBoost",42,11540,1882,0.570954434070536,0.66951871657754,0.766206163655685,-0.0966874470781452,1,0.66951871657754,0.802049967969251
"prod_num","LightGBM","prod_num_LightGBM",42,11540,1882,0.759138586058804,0.893711248892825,0.766206163655685,0.12750508523714,1,0.893711248892825,0.943872778297474
"df_log","Logistic Regression","df_log_Logistic Regression",42,11540,1882,0.798913729948213,0.925531914893617,0.766206163655685,0.159325751237932,1,0.925531914893617,0.961325966850829
"df_log","Random Forest","df_log_Random Forest",42,11540,1882,0.805752330939878,0.885945548197204,0.766206163655685,0.119739384541518,1,0.885945548197204,0.939523995317987
"df_log","SVM","df_log_SVM",42,11540,1882,0.77713346564128,0.92743953294412,0.766206163655685,0.161233369288435,1,0.92743953294412,0.962353959324967
"df_log","Neural Network","df_log_Neural Network",42,11540,1882,0.808036846537014,0.928688524590164,0.766206163655685,0.162482360934479,1,0.928688524590164,0.963025924351891
"df_log","XGBoost","df_log_XGBoost",42,11540,1882,0.568057733548781,0.759638554216867,0.766206163655685,-0.00656760943881796,1,0.759638554216867,0.863402944197193
"df_log","LightGBM","df_log_LightGBM",42,11540,1882,0.754744973874529,0.898936170212766,0.766206163655685,0.132730006557081,1,0.898936170212766,0.946778711484594
"df_cox","Logistic Regression","df_cox_Logistic Regression",42,11540,1882,0.787835022913484,0.92288961038961,0.766206163655685,0.156683446733925,1,0.92288961038961,0.959898691430983
"df_cox","Random Forest","df_cox_Random Forest",42,11540,1882,0.813809789591188,0.883823529411765,0.766206163655685,0.117617365756079,1,0.883823529411765,0.938329430132709
"df_cox","SVM","df_cox_SVM",42,11540,1882,0.777836821451929,0.926666666666667,0.766206163655685,0.160460503010981,1,0.926666666666667,0.961937716262976
"df_cox","Neural Network","df_cox_Neural Network",42,11540,1882,0.811248155176049,0.929225645295587,0.766206163655685,0.163019481639902,1,0.929225645295587,0.963314630988347
"df_cox","XGBoost","df_cox_XGBoost",42,11540,1882,0.568057733548781,0.759638554216867,0.766206163655685,-0.00656760943881796,1,0.759638554216867,0.863402944197193
"df_cox","LightGBM","df_cox_LightGBM",42,11540,1882,0.754744973874529,0.898936170212766,0.766206163655685,0.132730006557081,1,0.898936170212766,0.946778711484594
"df_domain","Logistic Regression","df_domain_Logistic Regression",42,11540,1882,0.827315541601256,0.923976608187134,0.766206163655685,0.157770444531449,1,0.923976608187134,0.96048632218845
"df_domain","Random Forest","df_domain_Random Forest",42,11540,1882,0.774928876244666,0.935919055649241,0.766206163655685,0.169712891993556,1,0.935919055649241,0.966898954703833
"df_domain","SVM","df_domain_SVM",42,11540,1882,0.785986990950226,0.933104631217839,0.766206163655685,0.166898467562153,1,0.933104631217839,0.965394853593611
"df_domain","Neural Network","df_domain_Neural Network",42,11540,1882,0.809050657637713,0.940017137960583,0.766206163655685,0.173810974304897,1,0.940017137960583,0.969081272084806
"df_domain","XGBoost","df_domain_XGBoost",42,11540,1882,0.706860523005974,0.790865384615385,0.766206163655685,0.0246592209596992,1,0.790865384615385,0.883221476510067
"df_domain","LightGBM","df_domain_LightGBM",42,11540,1882,0.76752412379381,0.896035242290749,0.766206163655685,0.129829078635064,1,0.896035242290749,0.945167286245353
"df_rare","Logistic Regression","df_rare_Logistic Regression",42,11540,1882,0.827315541601256,0.923976608187134,0.766206163655685,0.157770444531449,1,0.923976608187134,0.96048632218845
"df_rare","Random Forest","df_rare_Random Forest",42,11540,1882,0.77415236374586,0.936548223350254,0.766206163655685,0.170342059694568,1,0.936548223350254,0.967234600262123
"df_rare","SVM","df_rare_SVM",42,11540,1882,0.780275229357798,0.92924126172208,0.766206163655685,0.163035098066395,1,0.92924126172208,0.963323022536456
"df_rare","Neural Network","df_rare_Neural Network",42,11540,1882,0.816585004557885,0.932030586236194,0.766206163655685,0.165824422580508,1,0.932030586236194,0.964819700967458
"df_rare","XGBoost","df_rare_XGBoost",42,11540,1882,0.811798394589737,0.911372549019608,0.766206163655685,0.145166385363922,1,0.911372549019608,0.95363151415675
"df_rare","LightGBM","df_rare_LightGBM",42,11540,1882,0.76752412379381,0.896035242290749,0.766206163655685,0.129829078635064,1,0.896035242290749,0.945167286245353
"df_dev","Logistic Regression","df_dev_Logistic Regression",42,11540,1882,0.834711301264262,0.921535893155259,0.766206163655685,0.155329729499573,1,0.921535893155259,0.959165942658558
"df_dev","Random Forest","df_dev_Random Forest",42,11540,1882,0.81742670729398,0.917808219178082,0.766206163655685,0.151602055522397,1,0.917808219178082,0.957142857142857
"df_dev","SVM","df_dev_SVM",42,11540,1882,0.782468148776757,0.928571428571429,0.766206163655685,0.162365264915743,1,0.928571428571429,0.962962962962963
"df_dev","Neural Network","df_dev_Neural Network",42,11540,1882,0.797009121029538,0.939419795221843,0.766206163655685,0.173213631566158,1,0.939419795221843,0.968763748350198
"df_dev","XGBoost","df_dev_XGBoost",42,11540,1882,0.809084794048985,0.903860711582135,0.766206163655685,0.137654547926449,1,0.903860711582135,0.949502982107356
"df_dev","LightGBM","df_dev_LightGBM",42,11540,1882,0.76752412379381,0.896035242290749,0.766206163655685,0.129829078635064,1,0.896035242290749,0.945167286245353
